Step,Body,X,Y,Z,Mass
24,2,136746203370.28519,59719817210.439,0,73476730900000000000000
25,0,43191.10213813919,5997.622411428898,0,1989000000000000000000000000000
25,1,135390575783.14331,62381403350.07521,0,5972000000000000000000000
25,2,135715655094.65643,62132203404.97599,0,73476730900000000000000
26,0,46592.610410097026,6743.618914225784,0,1989000000000000000000000000000
26,1,134271039146.19397,64709095531.85287,0,5972000000000000000000000
26,2,134630588351.94615,64536863534.90195,0,73476730900000000000000
27,0,50116.2524681828,7548.471433005678,0,1989000000000000000000000000000
27,1,133111526307.43883,67017322405.793365,0,5972000000000000000000000
27,2,133488548151.4769,66930393646.15866,0,73476730900000000000000
28,0,53761.02130972048,8414.304319625076,0,1989000000000000000000000000000
28,1,131912398754.512,69305429640.96404,0,5972000000000000000000000
28,2,132287413062.06253,69308470308.60939,0,73476730900000000000000
29,0,57525.8724034001,9343.225083459674,0,1989000000000000000000000000000
29,1,130674021811.22295,71572781001.36102,0,5972000000000000000000000
29,2,131025765750.44357,71665755305.26572,0,73476730900000000000000
30,0,61409.72395531106,10337.323708155573,0,1989000000000000000000000000000
30,1,129396758253.49706,73818757601.38866,0,5972000000000000000000000
30,2,129703404659.77226,73995974640.4127,0,73476730900000000000000
31,0,65411.45718814097,11398.67197265637,0,1989000000000000000000000000000
31,1,128080961325.73799,76042753408.64365,0,5972000000000000000000000
31,2,128321904063.89362,76292302441.42023,0,73476730900000000000000
32,0,69529.91663392009,12529.3227769182,0,1989000000000000000000000000000
32,1,126726969800.48938,78244166158.00168,0,5972000000000000000000000
32,2,126885007680.82399,78548117691.20805,0,73476730900000000000000
33,0,73763.91044069215,13731.309472535053,0,1989000000000000000000000000000
33,1,125335108482.84486,80422385119.95027,0,5972000000000000000000000
33,2,125398579374.08241,80758016506.57283,0,73476730900000000000000
34,0,78112.21069327624,15006.645198226297,0,1989000000000000000000000000000
34,1,123905695998.89178,82576779918.83063,0,5972000000000000000000000
34,2,123869961445.0289,82918738950.99466,0,73476730900000000000000
35,0,82573.5537478814,16357.322219936488,0,1989000000000000000000000000000
35,1,122439057947.08266,84706695235.27234,0,5972000000000000000000000
35,2,122306896665.21696,85029617470.4988,0,73476730900000000000000
36,0,87146.64057995529,17785.311275325374,0,1989000000000000000000000000000
36,1,120935540431.13966,86811453405.04147,0,5972000000000000000000000
36,2,120716418940.47398,87092383410.48405,0,73476730900000000000000
37,0,91830.13714452939,19292.56092269233,0,1989000000000000000000000000000
37,1,119395519364.05621,88890362860.93457,0,5972000000000000000000000
37,2,119104087351.0787,89110498504.73138,0,73476730900000000000000
38,0,96622.67474851108,20880.996894716936,0,1989000000000000000000000000000
38,1,117819403947.0374,90942728392.59166,0,5972000000000000000000000
38,2,117473693314.54736,91088338478.26523,0,73476730900000000000000
39,0,101522.8504347043,22552.52145762128,0,1989000000000000000000000000000
39,1,116207635500.544,92967860008.10419,0,5972000000000000000000000
39,2,115827345200.00764,93030490145.95892,0,73476730900000000000000
40,0,106529.22737761892,24309.01277640775,0,1989000000000000000000000000000
40,1,114560683810.83087,94965079073.314,0,5972000000000000000000000
40,2,114165754557.70592,94941269608.9641,0,73476730900000000000000
41,0,111640.33529126545,26152.324286748975,0,1989000000000000000000000000000
41,1,112879042780.06029,96933721828.76424,0,5972000000000000000000000
41,2,112488578627.70044,96824453408.77803,0,73476730900000000000000
42,0,116854.67084914146,28084.284073983705,0,1989000000000000000000000000000
42,1,111163226397.33867,98873140968.0817,0,5972000000000000000000000
42,2,110794736434.70335,98683167050.84026,0,73476730900000000000000
43,0,122170.69811655318,30106.694259559375,0,1989000000000000000000000000000
43,1,109413765434.80537,100782705997.45174,0,5972000000000000000000000
43,2,109082665618.64803,100519872396.20265,0,73476730900000000000000
44,0,127586.84899532858,32221.330395180325,0,1989000000000000000000000000000
44,1,107631204929.50685,102661802926.75252,0,5972000000000000000000000
44,2,107350515063.19275,102336409165.63324,0,73476730900000000000000
45,0,133101.52368089627,34429.940864871845,0,1989000000000000000000000000000
45,1,105816102365.61935,104509833657.36043,0,5972000000000000000000000
45,2,105596280266.96306,104134060883.2174,0,73476730900000000000000
46,0,138713.09113163882,36734.246295146906,0,1989000000000000000000000000000
46,1,103969026430.6749,106326215292.2764,0,5972000000000000000000000
46,2,103817891729.01208,105913626914.18877,0,73476730900000000000000
47,0,144419.8895503824,39135.93897345564,0,1989000000000000000000000000000
47,1,102090556222.9877,108110379505.22243,0,5972000000000000000000000
47,2,102013266333.342,107675489485.59387,0,73476730900000000000000
48,0,150220.22687785386,41636.68227510005,0,1989000000000000000000000000000
48,1,100181280804.48164,109861772054.238,0,5972000000000000000000000
48,2,100180330336.15057,109419668733.23065,0,73476730900000000000000
49,0,156112.38129791804,44238.11009880212,0,1989000000000000000000000000000
49,1,98241799009.97049,111579852499.69902,0,5972000000000000000000000
49,2,98317021190.38274,111145860899.39714,0,73476730900000000000000
50,0,162094.60175439587,46941.82631111879,0,1989000000000000000000000000000
50,1,96272719434.46552,113264094178.27475,0,5972000000000000000000000
50,2,96421274587.17166,112853455489.17708,0,73476730900000000000000
51,0,168165.10847925697,49749.40419989979,0,1989000000000000000000000000000
51,1,94274660519.68643,114913984488.02676,0,5972000000000000000000000
51,2,94491003126.38641,114541526893.11737,0,73476730900000000000000
52,0,174322.09353197206,52662.38593698267,0,1989000000000000000000000000000
52,1,92248250643.32607,116529025551.31613,0,5972000000000000000000000
52,2,92524074461.27011,116208795052.56369,0,73476730900000000000000
53,0,180563.72134980033,55682.28205031343,0,1989000000000000000000000000000
53,1,90194128069.77348,118108735334.0871,0,5972000000000000000000000
53,2,90518300407.37239,117853548776.7478,0,73476730900000000000000
54,0,186888.12930877003,58810.57090567258,0,1989000000000000000000000000000
54,1,88112940534.91846,119652649295.41867,0,5972000000000000000000000
54,2,88471455502.94601,119473525701.03647,0,73476730900000000000000
55,0,193293.42829508687,62048.69819817867,0,1989000000000000000000000000000
55,1,86005344097.37428,121160322581.48987,0,5972000000000000000000000
55,2,86381354910.70064,121065747731.96898,0,73476730900000000000000
56,0,199777.70328667265,65398.076453743786,0,1989000000000000000000000000000
56,1,83872000703.33824,122631332587.04256,0,5972000000000000000000000
56,2,84246036597.55426,122626326353.62982,0,73476730900000000000000
57,0,206339.01394450266,68860.08454068357,0,1989000000000000000000000000000
57,1,81713573772.00122,124065281267.01485,0,5972000000000000000000000
57,2,82064104133.82828,124150287964.63719,0,73476730900000000000000
58,0,212975.3952133902,72436.06719176097,0,1989000000000000000000000000000
58,1,79530721288.63503,125461795803.43484,0,5972000000000000000000000
58,2,79835271806.25427,125631532612.91437,0,73476730900000000000000
59,0,219684.8579318964,76127.33453708969,0,1989000000000000000000000000000
59,1,77324086913.42526,126820525335.92531,0,5972000000000000000000000
59,2,77561070759.07532,127063112376.07823,0,73476730900000000000000
60,0,226465.389451169,79935.1616485244,0,1989000000000000000000000000000
60,1,75094291863.80035,128141131449.8821,0,5972000000000000000000000
60,2,75245492025.65556,128438016791.1321,0,73476730900000000000000
61,0,233314.95426275357,83860.78809631884,0,1989000000000000000000000000000
61,1,72841932801.83035,129423272654.46779,0,5972000000000000000000000
61,2,72895141240.5633,129750446444.46042,0,73476730900000000000000
62,0,240231.49463567924,87905.41751874724,0,1989000000000000000000000000000
62,1,70567590358.69751,130666588212.07777,0,5972000000000000000000000
62,2,70518528546.70963,130997138921.55809,0,73476730900000000000000
63,0,247212.93126318004,92070.21720494068,0,1989000000000000000000000000000
63,1,68271846930.37041,131870689887.98395,0,5972000000000000000000000
63,2,68124604702.04351,132178050667.33719,0,73476730900000000000000
64,0,254257.16391911815,96356.31769058932,0,1989000000000000000000000000000
64,1,65955305463.28075,133035166200.94514,0,5972000000000000000000000
64,2,65721216458.7407,133296022451.68527,0,73476730900000000000000
65,0,261362.0721236837,100764.8123658453,0,1989000000000000000000000000000
65,1,63618600824.635025,134159595522.86688,0,5972000000000000000000000
65,2,63314164393.11006,134355725276.74657,0,73476730900000000000000
66,0,268525.51581761305,105296.75709493831,0,1989000000000000000000000000000
66,1,61262401640.46744,135243560424.03065,0,5972000000000000000000000
66,2,60907035262.428925,135362504730.45319,0,73476730900000000000000
67,0,275745.336044156,109953.16984745815,0,1989000000000000000000000000000
67,1,58887405880.795784,136286658119.8693,0,5972000000000000000000000
67,2,58501542371.41691,136321541880.55902,0,73476730900000000000000
68,0,283019.3556382178,114735.03034163,0,1989000000000000000000000000000
68,1,56494334400.462524,137288506028.2565,0,5972000000000000000000000
68,2,56098031901.15597,137237411248.87805,0,73476730900000000000000
69,0,290345.3799223135,119643.2797000714,0,1989000000000000000000000000000
69,1,54083925017.41562,138248743719.34033,0,5972000000000000000000000
69,2,53695945371.87952,138113931652.41626,0,73476730900000000000000
70,0,297721.1974091085,124678.82011852047,0,1989000000000000000000000000000
70,1,51656928017.63338,139167032876.4812,0,5972000000000000000000000
70,2,51294165973.50296,138954178345.68982,0,73476730900000000000000
71,0,305144.58051037736,129842.5145479507,0,1989000000000000000000000000000
71,1,49214103058.218575,140043056424.65048,0,5972000000000000000000000
71,2,48891251082.816505,139760562467.33246,0,73476730900000000000000
72,0,312613.2862522184,135135.18639040188,0,1989000000000000000000000000000
72,1,46756217137.34141,140876517463.58032,0,5972000000000000000000000
72,2,46485577900.5954,140534925984.74042,0,73476730900000000000000
73,0,320125.05699634575,140557.61920878224,0,1989000000000000000000000000000
73,1,44284043289.81274,141667138293.5431,0,5972000000000000000000000
73,2,44075429946.829796,141278628731.80298,0,73476730900000000000000
74,0,327677.6211672563,146110.55645084204,0,1989000000000000000000000000000
74,1,41798359748.32479,142414659634.62164,0,5972000000000000000000000
74,2,41659045548.66202,141992619336.59766,0,73476730900000000000000
75,0,335268.693985047,151794.70118747803,0,1989000000000000000000000000000
75,1,39299949396.65084,143118840057.2413,0,5972000000000000000000000
75,2,39234642445.70845,142677488590.32916,0,73476730900000000000000
76,0,342895.97820363636,157610.71586549914,0,1989000000000000000000000000000
76,1,36789599406.47172,143779455614.7455,0,5972000000000000000000000
76,2,36800427324.353485,143333506003.21872,0,73476730900000000000000
77,0,350557.16485413135,163559.2220749613,0,1989000000000000000000000000000
77,1,34268100991.278915,144396299669.2743,0,5972000000000000000000000
77,2,34354595697.091167,143960640254.8542,0,73476730900000000000000
78,0,358249.93399306614,169640.8003311611,0,1989000000000000000000000000000
78,1,31736249232.29918,144969182915.33658,0,5972000000000000000000000
78,2,31895325796.25402,144558563179.67932,0,73476730900000000000000
79,0,365971.9554552328,175855.98987136089,0,1989000000000000000000000000000
79,1,29194842935.37287,145497933624.1916,0,5972000000000000000000000
79,2,29420769827.601665,145126635406.9122,0,73476730900000000000000
80,0,373720.8896108166,182205.28846630035,0,1989000000000000000000000000000
80,1,26644684464.057526,145982398152.72324,0,5972000000000000000000000
80,2,26929047039.743317,145663870102.88373,0,73476730900000000000000
81,0,381494.38812654366,188689.1522465299,0,1989000000000000000000000000000
81,1,24086579458.690773,146422441778.76614,0,5972000000000000000000000
81,2,24418245953.860382,146168869779.0034,0,73476730900000000000000
82,0,389290.09473054606,195307.99554357483,0,1989000000000000000000000000000
82,1,21521336284.83663,146817949931.49347,0,5972000000000000000000000
82,2,21886448487.84389,146639730588.6512,0,73476730900000000000000
83,0,397105.6459806405,202062.19074590658,0,1989000000000000000000000000000
83,1,18949764945.52974,147168829857.73077,0,5972000000000000000000000
83,2,19331797569.14052,147073910792.28638,0,73476730900000000000000
84,0,404938.6720357045,208952.06816965542,0,1989000000000000000000000000000
84,1,16372675034.97803,147475012653.01358,0,5972000000000000000000000
84,2,16752642571.548292,147468069178.09872,0,73476730900000000000000
85,0,412786.7974298067,215977.91594395065,0,1989000000000000000000000000000
85,1,13790872141.619799,147736455297.78128,0,5972000000000000000000000
85,2,14147810709.955345,147817902669.20526,0,73476730900000000000000
86,0,420647.64184869744,223139.97991073632,0,1989000000000000000000000000000
86,1,11205152079.262695,147953141753.60986,0,5972000000000000000000000
86,2,11517054899.110798,148118059936.63528,0,73476730900000000000000
87,0,428518.8209081867,230438.4635389143,0,1989000000000000000000000000000
87,1,8616292827.183897,148125081279.8427,0,5972000000000000000000000
87,2,8861687771.04462,148362280543.39575,0,73476730900000000000000
88,0,436397.9469338412,237873.52785277384,0,1989000000000000000000000000000
88,1,6025045687.024036,148252301431.1228,0,5972000000000000000000000
88,2,6185279313.791292,148543966024.45734,0,73476730900000000000000
89,0,444282.62974136823,245445.2913749377,0,1989000000000000000000000000000
89,1,3432129954.805456,148334834197.54834,0,5972000000000000000000000
89,2,3494068791.225115,148657307923.75632,0,73476730900000000000000
90,0,452170.4774171315,253153.83008445124,0,1989000000000000000000000000000
90,1,838237147.0200934,148372698101.39044,0,5972000000000000000000000
90,2,796600129.0892372,148698744061.5228,0,73476730900000000000000
91,0,460059.09709852905,260999.17739091886,0,1989000000000000000000000000000
91,1,-1755952751.082901,148365884834.03824,0,5972000000000000000000000
91,2,-1897619828.7655482,148668045349.19174,0,73476730900000000000000
92,0,467946.0957543497,268981.3241253975,0,1989000000000000000000000000000
92,1,-4349749340.354845,148314359073.50076,0,5972000000000000000000000
92,2,-4579926089.281538,148568330868.88428,0,73476730900000000000000
93,0,475829.0809654081,277100.2185480636,0,1989000000000000000000000000000
93,1,-6942435498.828339,148218071409.23447,0,5972000000000000000000000
93,2,-7243842188.894794,148405017169.07962,0,73476730900000000000000
94,0,483705.6617055676,285355.76637197577,0,1989000000000000000000000000000
94,1,-9533262859.270103,148076975776.57553,0,5972000000000000000000000
94,2,-9885468908.559103,148184400595.47995,0,73476730900000000000000
95,0,491573.44912288035,293747.8308020533,0,1989000000000000000000000000000
95,1,-12121456614.794353,147891043047.04752,0,5972000000000000000000000
95,2,-12503114831.129587,147912551650.56265,0,73476730900000000000000
96,0,499430.0573202975,302276.23258864984,0,1989000000000000000000000000000
96,1,-14706223825.264175,147660268057.4276,0,5972000000000000000000000
96,2,-15096642352.057226,147594742238.89148,0,73476730900000000000000
97,0,507273.1041353327,310940.75009547843,0,1989000000000000000000000000000
97,1,-17286761093.61326,147384671517.03937,0,5972000000000000000000000
97,2,-17666864872.997414,147235288808.55682,0,73476730900000000000000
98,0,515100.21191811946,319741.11938190454,0,1989000000000000000000000000000
98,1,-19862260131.824505,147064299189.95203,0,5972000000000000000000000
98,2,-20215115475.221123,146837616592.2465,0,73476730900000000000000
99,0,522909.00830739574,328677.0342997338,0,1989000000000000000000000000000
99,1,-22431911283.57035,146699220104.61975,0,5972000000000000000000000
99,2,-22742981614.191105,146404402503.15436,0,73476730900000000000000
